Entity,Code,Year,"Land use per kilogram (Poore & Nemecek, 2018)"
Apples,,2010,0.63
Bananas,,2010,1.93
Barley,,2010,1.11
Beef (beef herd),,2010,326.21
Beef (dairy herd),,2010,43.24
Beet Sugar,,2010,1.83
Berries & Grapes,,2010,2.41
Brassicas,,2010,0.55
Cane Sugar,,2010,2.04
Cassava,,2010,1.81
Cheese,,2010,87.79
Citrus Fruit,,2010,0.86
Coffee,,2010,21.62
Dark Chocolate,,2010,68.96
Eggs,,2010,6.27
Fish (farmed),,2010,8.41
Groundnuts,,2010,9.11
Lamb & Mutton,,2010,369.81
Maize,,2010,2.94
Milk,,2010,8.95
Nuts,,2010,12.96
Oatmeal,,2010,7.6
Onions & Leeks,,2010,0.39
Other Fruit,,2010,0.89
Other Pulses,,2010,15.57
Other Vegetables,,2010,0.38
Peas,,2010,7.46
Pig Meat,,2010,17.36
Potatoes,,2010,0.88
Poultry Meat,,2010,12.22
Prawns (farmed),,2010,2.97
Rice,,2010,2.8
Root Vegetables,,2010,0.33
Soymilk,,2010,0.66
Tofu (soybeans),,2010,3.52
Tomatoes,,2010,0.8
Wheat & Rye,,2010,3.85
Wine,,2010,1.78