Entity,Code,Year,"Freshwater withdrawals per kilogram (Poore & Nemecek, 2018)"
Apples,,2010,180.1
Bananas,,2010,114.5
Barley,,2010,17.1
Beef (beef herd),,2010,1451.2
Beef (dairy herd),,2010,2714.3
Beet Sugar,,2010,217.7
Berries & Grapes,,2010,419.6
Brassicas,,2010,119.4
Cane Sugar,,2010,620.1
Cassava,,2010,0
Cheese,,2010,5605.2
Citrus Fruit,,2010,82.7
Coffee,,2010,25.9
Dark Chocolate,,2010,540.6
Eggs,,2010,577.7
Fish (farmed),,2010,3691.3
Groundnuts,,2010,1852.3
Lamb & Mutton,,2010,1802.8
Maize,,2010,215.7
Milk,,2010,628.2
Nuts,,2010,4133.8
Oatmeal,,2010,482.4
Onions & Leeks,,2010,14.3
Other Fruit,,2010,153.5
Other Pulses,,2010,435.7
Other Vegetables,,2010,102.5
Peas,,2010,396.6
Pig Meat,,2010,1795.8
Potatoes,,2010,59.1
Poultry Meat,,2010,660
Prawns (farmed),,2010,3515.4
Rice,,2010,2248.4
Root Vegetables,,2010,28.4
Soymilk,,2010,27.8
Tofu (soybeans),,2010,148.6
Tomatoes,,2010,369.8
Wheat & Rye,,2010,647.5
Wine,,2010,78.9