Entity,Code,Year,"Freshwater withdrawals per 100g protein (Poore & Nemecek, 2018)"
Apples,,2010,6003.333333
Bananas,,2010,1272.222222
Beef (beef herd),,2010,727.7833501
Beef (dairy herd),,2010,1375.025329
Berries & Grapes,,2010,4196
Brassicas,,2010,1085.454545
Cheese,,2010,2538.586957
Citrus Fruit,,2010,1378.333333
Coffee,,2010,32.375
Dark Chocolate,,2010,1081.2
Eggs,,2010,520.6380678
Fish (farmed),,2010,1618.636264
Groundnuts,,2010,707.5248281
Lamb & Mutton,,2010,900.9495252
Maize,,2010,227.0526316
Milk,,2010,1903.636364
Nuts,,2010,2531.414574
Oatmeal,,2010,371.0769231
Onions & Leeks,,2010,110
Other Pulses,,2010,203.503036
Peas,,2010,178.4878488
Pig Meat,,2010,1109.888752
Potatoes,,2010,347.6470588
Poultry Meat,,2010,381.0623557
Prawns (farmed),,2010,2380.094787
Rice,,2010,3166.760563
Root Vegetables,,2010,284
Tofu (soybeans),,2010,92.875
Tomatoes,,2010,3361.818182
Wheat & Rye,,2010,530.7377049